memintaku meminta,mengajak
membawa mengantarkan,bawa
tahu mengetahui,mengerti
marah-marah berapi-api,geram,gondok,gusar
jelas jelas-jelas
harus harusnya,layaknya,mestinya,pantasnya,wajarnya
menahan membekukan,memenjara
sakit tersakit
gara-gara sebab,dari
mengajaknya membawa,meminta
pergi berangkat,peergi,pergii,beerangkat
pulang kembali,puulang,kembalii,keembali,balik
malam malaam
padahal sementara
kadang terkadang,adakalanya,sekali-sekali
mengerti memafhumi,memahami,memaklumi,menerima,menyadari
kenapa kok,mengapaa,kenapaa
sering selalu,segera,acap,kerap
sedang pas,ketika,lagi,masih
bertengkar berkelahi,tengkar
pun juga,biar,meski
merengek-rengek menangis,merenyeh,menangiis,merengek,memerap
membujuk mendekati,menjinaki,melembuti,menganjurkan
memaafkannya memaafkan,mengampuni,menoleransinya
menyebut menyebutkan,mengucapkan,melafalkan,melisankan,menamakan,mengatakan
nama julukan,jenama,sebutan,sapaan
yang beryang-yang,yaang
diam-diam berselindung,diamdiam,curi-cuuri
cintai asmarai
terkadang sewaktu-waktu,kadang,sesekali
emosi marah,ego
meledak pecah
saat disaat,tatkala,sewaktu
aira raa
kagumi idolakan
peri batari
cinta afeksi,asmara
wanita perempuan
menjadi jadi,memerankan
berlagak bergayaa,berpura-pura
rupanya rupa,perawakan,gaya
sekali sangat,amat
juga dan,serta
wajahnya wajah,personanya,raut,rupa,sosok,tampang
masih lagii,masiih,sedaang
nampak taampak,kelihataan,nampaak,tertampak,menampak
murung memurung,gelabah,masygul
mau berkenan,setuju,berhendak,ingin,akan,bakal
beranjak anjak,pindah,nungsi
dari ke
tempat daerah,kawasan,lingkungan,persemayaman
tidurnya mendengkurnya,terbaringnya,tidur
memandang memandangnya,melihatnya,memperhatikannya
ke kee,pada
jendela kaca,cermin
berharap berambisi,berkehendak,memohonkan
kekasihnya cintanya,pacarnya,kesayangannya
akan akaan,pastii
datang berkunjung,berlabuh,bertandang
menyusup bersesaran,menyelinap,menyelundup
rumahnya rumah,bangunannya,gedung,pondok
menemuinya mendatangi,menghadapnya,menjumpai
mencongkel mencongkeli,memboboli,mencungkili,mendongkeli,menjeboli
kamarnya kamar,bilik,kabin,tempat
jika andaikan,asalkan,jikalau,misalnya,semisal
punya miliki,punyai
perasaan perasaaan,rasaa
sudah sudaah
jelek-jelekkan ejek-ejek,hina-hina,cemooh
secara ala,secaraa,secaara,dengan
terang-terangan blak-blakan,langsung
di pada,dii
depannya depan,hadapannya,muka
kalau jika,andaikata,apabila,bilamana,seandainya,andaikan,asalkan
hanyalah hanya,cuma,semata-mata
seorang orang,manusia,sosok
pecundang cundang
pengecut kecut
hanya sekadar
bisa bisaa,dapaat
berpura-pura hipokrit,munafik
meyakinkannya memastikan,membuktikan,menunjukkan
bahwa karena
teramat sangat,sungguh
menyayanginya menyayangi,mencintai,sayang
ingin kepingin
dirinya pribadinya,ia
cepat segera,buru-buru
sembuh membaik
segera cepat,lekas
bertemu bersemuka,berpapasan
hah haah,haa
konyol sembrono,lucu
sinonimuntukpuisi
seperti seakan-akan,bagai,seolah-olah
puisi kidung,sajak,syair,tembang
karena atas,berkat,sebab,oleh
untuk kepada,supaya
menyimpan simpan,mengemasi
nya ia
dalam kedalam
hati emosi,nurani,roh
itu tu,ituu
kembali balik,pulang
rindukan rindu,merindukan,cinta,kangen
dulu awal,dahulu,lalu,lampau,lepas,lewat
kita kawula,kitaa
tak tidak,jangan
begini demikian
tapi tetapi
tetapi tapi
kini sekarang,kinii,kiini,sekaraang
berbeda berlainan,berparak,bersalah,bertentangan,divergen,senjang
terbelah pisah
tertawa tawa
tawa tertawa
selalu konstan,pasti
ini kini,inii
menangis nangis
begitu sangat,amat
bebas berdikari,independen,langgas,lega,leluasa,lepas,los,lucut,mandiri
terhempas tersampingkan,tersingkir,tersisih,terusir
aku sayaa,akuu
dan juga,serta
dia beliau,dirinya
satu bersatu,satuu
kini sekarang
menyatu menyatuu,bersaatu,lebur
bagai bagaikan,seperti,serupa
kabut halimun
hitam kehitam-hitaman
semakin makin
beku membeku,memadat,mengeras
semua sarwa,semuanya,seluruhnya
telah sudaah,teelah
berubah ubah,ganti
hari muusim,harii
esok besook,kesokkan
masih lagii,sedaang
ada tiada,sedia
kedamaian kesakinahan,keselamatan,kesentosaan
untuk bagii,demii
kian bertambah,semakin
mulai sedari,start
ku aku,saya,daku
aba-aba arahan,instruksi,isyarat,kode,komando,perintah,petunjuk,seruan,suruhan,tanda,titah
abad era,kala,kurun,masa,periode,sepuluh dasawarsa,sepuluh dekade,seratus tahun,zaman 
seabad seera,sekurun,sezaman 
berabad-abad beratus-ratus tahun,berkurun-kurun,bertahun-tahun,berzaman-zaman
abadi awet,baka,daim,infinit,kekal,langgeng,langsung,lestari,qadim,samad,tetap,wujud
mengabadikan melanggengkan,melestarikan,membakakan,meneruskan,menetapkan,mengawetkan,mengekalkan,memfilmkan,memfoto,memotret,memvideokan,mencatat,mendokumentasikan,menjepret,menyimpan,merekam
pengabadian pelanggengan,pelestarian,penerusan,pengekalan pemotretan,pendokumentasian,penjepretan 
keabadian kebakaan,kebaqaan,keberterusan,kekekalan,kelanggengan,kelanjutan,kelestarian,kesinambungan 
terabadikan tercatat,terdokumentasikan,terekam,tersimpan
abah arah,depan,hadap,haluan,jurus,tuju 
mengabahmendatangi,mendekati,menentang,mengarah,mengedepan,menghadap,menjurus,menuju 
mengabahkanmenentangkan,mengarahkan,menghadapkan,mengiblatkan,menujukan
abai alpa,cabar,ceroboh,cuai,gegabah,kelipar,khilaf,lalai,leler,lengah,lupa,sembarangan,sembrono,serampangan,silap,taksir,teledor 
mengabaikan melalaikan,melambatlambatkan,melanyak,melecehkan,melengahkan,melengah-lengahkan,melupakan,memasabodohkan,membelakangi,membenamkan,membengkalaikan,membiarkan,membuang,memetieskan,memicakan,memperkecil,memunggungi,mencampak,mencuaikan,mendiamkan,meneledorkan,menghalai-balaikan,mengalpakan,menganaktirikan,mengecewakan,menghinakan,meniadakan,meninggalkan,menyalahi,meremehkan,merendahkan menyia-nyiakan,membiarkan,melepaskan 
pengabai pelengah,pelupa 
